station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration,weather,temperature,pressure,humidity,wind_speed,wind_direction,time_num,date_num
1002,2014/5/1 0:00,89,132.9,30.5,0.8,96.5,7.6,0,18,755.9,71,2,23,0,1
1002,2014/5/1 1:00,85,136.6,31.8,0.8,88.6,7.3,0,18,755.9,71,2,23,1,1
1002,2014/5/1 2:00,88,145.1,33.4,0.8,77.9,6.6,0,18,755.9,71,2,23,2,1
1002,2014/5/1 3:00,100,159,37.3,0.8,69.9,6.9,0,18,755.9,71,2,23,3,1
1002,2014/5/1 4:00,109,161.7,33.8,0.8,65.5,6.5,0,18,755.9,71,2,23,4,1
1002,2014/5/1 5:00,120,158.6,32.4,0.8,53.4,4.7,0,16.8,755.8,78,1,13,5,1
1002,2014/5/1 6:00,127,165.6,37.4,0.8,39.2,4.3,0,16.8,755.8,78,1,13,6,1
1002,2014/5/1 7:00,114,139.3,37.5,0.8,37,3.5,0,16.8,755.8,78,1,13,7,1
1002,2014/5/1 8:00,121,159.8,37.1,0.8,34.4,4.6,0,19,756.9,72,2,23,8,1
1002,2014/5/1 9:00,133,188.3,49.8,1,33.9,9.2,0,19,756.9,72,2,23,9,1
1002,2014/5/1 10:00,133,188.3,65.9,0.9,36.7,11.4,0,19,756.9,72,2,23,10,1
1002,2014/5/1 11:00,133,188.3,63.2,1,83.3,14.2,0,24.5,756.1,57,4,23,11,1
1002,2014/5/1 12:00,111,211.2,61.8,1,109,17.9,0,24.5,756.1,57,4,23,12,1
1002,2014/5/1 13:00,172,235.9,50.8,1,145.9,27.7,0,24.5,756.1,57,4,23,13,1
1002,2014/5/1 14:00,173,223.2,32,1.4,187.7,60.9,0,26.7,753.9,44,5,3,14,1
1002,2014/5/1 15:00,177,220.1,25.8,1.2,199.3,49.7,0,26.7,753.9,44,5,3,15,1
1002,2014/5/1 16:00,176,225,27.4,1.2,200.5,43.2,0,26.7,753.9,44,5,3,16,1
1002,2014/5/1 17:00,171,214.8,25,1.2,210.1,48.1,0,26.6,753.8,48,3,2,17,1
1002,2014/5/1 18:00,126,214.8,16.8,0.9,171.9,29.3,0,26.6,753.8,48,3,2,18,1
1002,2014/5/1 19:00,53,198.6,12,0.6,100.6,7,0,26.6,753.8,48,3,2,19,1
1002,2014/5/1 20:00,58,159.6,10.2,0.5,91.6,6.2,0,19.1,756.7,32,6,4,20,1
1002,2014/5/1 21:00,51,325.5,9.3,0.5,90.5,3.8,0,19.1,756.7,32,6,4,21,1
1002,2014/5/1 22:00,33,132.6,7.4,0.4,86,2.1,0,19.1,756.7,32,6,4,22,1
1002,2014/5/1 23:00,31,135.5,4.7,0.4,87.9,2,0,15.1,759.2,42,5,4,23,1
1002,2014/5/2 0:00,28,55.2,7.4,0.4,82,2.6,0,15.1,759.2,42,5,4,0,2
