,timestep,location,traffic,prev_1,prev_2,prev_3,prev_4,prev_5,prev_6,prev_7,prev_8,prev_9,prev_10
0,0,0,0.050910789,0.092480149,0.096683793,0.070060719,0.065857076,0.078468006,0.071461934,0.05418029,0.044371789,0.054647361,0.050910789
1,0,1,0.046240075,0.097150864,0.10228865,0.081737506,0.07659972,0.072396077,0.067725362,0.058851004,0.066324148,0.059785147,0.056982718
2,0,2,0.050443718,0.115366651,0.110695936,0.10555815,0.095282578,0.067725362,0.080336291,0.062587576,0.061653433,0.055581504,0.061653433
3,0,3,0.04483886,0.112097151,0.102755722,0.092013078,0.083605792,0.062120504,0.070994862,0.053713218,0.062587576,0.053713218,0.066791219
4,0,4,0.04483886,0.127043438,0.150864082,0.131714152,0.106025222,0.09901915,0.090611864,0.069126576,0.06071929,0.06071929,0.067258291
5,0,5,0.045305932,0.125175152,0.142923867,0.115833723,0.091546007,0.094815507,0.078468006,0.071929005,0.053713218,0.050910789,0.067725362
6,0,6,0.056982718,0.144325082,0.172816441,0.134516581,0.106025222,0.109761794,0.090611864,0.078000934,0.062587576,0.070527791,0.076132648
7,0,7,0.043437646,0.098552078,0.106492293,0.089210649,0.070994862,0.06398879,0.047641289,0.053713218,0.040635217,0.042970574,0.041102289
8,0,8,0.08313872,0.149462868,0.161139654,0.13731901,0.121905652,0.126576366,0.114432508,0.102755722,0.109294722,0.098085007,0.08640822
9,0,9,0.105091079,0.182624942,0.187762728,0.172816441,0.159271369,0.145726296,0.13731901,0.134516581,0.141522653,0.112564222,0.108360579
10,0,10,0.091078935,0.14385801,0.158804297,0.144325082,0.141522653,0.127510509,0.120504437,0.085007006,0.107893508,0.091546007,0.090144792
11,0,11,0.105091079,0.15973844,0.169546941,0.135450724,0.155067725,0.140121439,0.104156936,0.119103223,0.113965437,0.112097151,0.079402149
12,0,12,0.102755722,0.168145726,0.171415227,0.161606726,0.157403083,0.14385801,0.138720224,0.119103223,0.128444652,0.112097151,0.106492293
13,0,13,0.094815507,0.153666511,0.160672583,0.13731901,0.144325082,0.126109295,0.119103223,0.086875292,0.111630079,0.098085007,0.084539935
14,0,14,0.110228865,0.195702943,0.200840729,0.169079869,0.174217655,0.155534797,0.168612798,0.126576366,0.142456796,0.148528725,0.11489958
15,0,15,0.044371789,0.095282578,0.068659505,0.058851004,0.061186362,0.051377861,0.058851004,0.046707146,0.055581504,0.040168146,0.037832788
16,0,16,0.079402149,0.174217655,0.166744512,0.157870154,0.147594582,0.136384867,0.11816908,0.097150864,0.113965437,0.091546007,0.094815507
17,0,17,0.089677721,0.233535731,0.195702943,0.167211583,0.15646894,0.126576366,0.127977581,0.123773937,0.131247081,0.106025222,0.110695936
18,0,18,0.093881364,0.193834657,0.202241943,0.172816441,0.142923867,0.141989724,0.131714152,0.11816908,0.122839794,0.103222793,0.113498365
19,0,19,0.123306866,0.260625876,0.219990659,0.222793087,0.185894442,0.167211583,0.177954227,0.165343298,0.139654367,0.145726296,0.122839794
20,0,20,0.122839794,0.25548809,0.228397945,0.211583372,0.174684727,0.156936011,0.161606726,0.151331154,0.142923867,0.132648295,0.119570294
21,0,21,0.14058851,0.272769734,0.259691733,0.226062588,0.208313872,0.172349369,0.180289584,0.179355441,0.158337226,0.142923867,0.129845866
22,0,22,0.026623073,0.067725362,0.053246147,0.049042504,0.052312004,0.037832788,0.042970574,0.045305932,0.035964503,0.026623073,0.028958431
23,0,23,0.027090145,0.055581504,0.049976646,0.040168146,0.044371789,0.035497431,0.033629145,0.035964503,0.024754787,0.027557216,0.026623073
24,0,24,0.009808501,0.031293788,0.027557216,0.023353573,0.021018216,0.01588043,0.014479215,0.014946287,0.014012144,0.006539,0.006539
25,0,25,0.079402149,0.145726296,0.156001868,0.123306866,0.133115367,0.131714152,0.107426436,0.092013078,0.106025222,0.078935077,0.087342363
26,0,26,0.018215787,0.074264362,0.064922933,0.062120504,0.040168146,0.044371789,0.042036432,0.033162074,0.026156002,0.02241943,0.028958431
27,0,27,0.021952359,0.043904717,0.035964503,0.035964503,0.033162074,0.027090145,0.027557216,0.02568893,0.023353573,0.023353573,0.020084073
28,0,28,0.014479215,0.042503503,0.034096217,0.023820645,0.029425502,0.017281644,0.027557216,0.023353573,0.017281644,0.018682858,0.014946287
29,0,29,0.047174218,0.082671649,0.067258291,0.070527791,0.052779075,0.049509575,0.042970574,0.051844932,0.04156936,0.037365717,0.034096217
30,0,30,0.035497431,0.106492293,0.103689865,0.084539935,0.064455862,0.060252219,0.074731434,0.045773003,0.052779075,0.047174218,0.034563288
31,0,31,0.031760859,0.093414292,0.106959365,0.084072863,0.062120504,0.068659505,0.071929005,0.037365717,0.053246147,0.04156936,0.031760859
32,0,32,0.002802429,0.015413358,0.027557216,0.017748716,0.011209715,0.014479215,0.010275572,0.009341429,0.009808501,0.007940215,0.005604858
33,0,33,0.027090145,0.067725362,0.081737506,0.061186362,0.045773003,0.053246147,0.047641289,0.033162074,0.040168146,0.031293788,0.028491359
34,0,34,0.034096217,0.093881364,0.110695936,0.088276506,0.064922933,0.071461934,0.070527791,0.045773003,0.050910789,0.049509575,0.050910789
35,0,35,0.040635217,0.08313872,0.066791219,0.067258291,0.053246147,0.046240075,0.040635217,0.043437646,0.028958431,0.041102289,0.045305932
36,1,0,0.047641289,0.096683793,0.070060719,0.065857076,0.078468006,0.071461934,0.05418029,0.044371789,0.054647361,0.050910789,0.042970574
37,1,1,0.049509575,0.10228865,0.081737506,0.07659972,0.072396077,0.067725362,0.058851004,0.066324148,0.059785147,0.056982718,0.046707146
38,1,2,0.044371789,0.110695936,0.10555815,0.095282578,0.067725362,0.080336291,0.062587576,0.061653433,0.055581504,0.061653433,0.043437646
39,1,3,0.03829986,0.102755722,0.092013078,0.083605792,0.062120504,0.070994862,0.053713218,0.062587576,0.053713218,0.066791219,0.042503503
40,1,4,0.053246147,0.150864082,0.131714152,0.106025222,0.09901915,0.090611864,0.069126576,0.06071929,0.06071929,0.067258291,0.071461934
41,1,5,0.049509575,0.142923867,0.115833723,0.091546007,0.094815507,0.078468006,0.071929005,0.053713218,0.050910789,0.067725362,0.066324148
42,1,6,0.064922933,0.172816441,0.134516581,0.106025222,0.109761794,0.090611864,0.078000934,0.062587576,0.070527791,0.076132648,0.073797291
43,1,7,0.049042504,0.106492293,0.089210649,0.070994862,0.06398879,0.047641289,0.053713218,0.040635217,0.042970574,0.041102289,0.041102289
44,1,8,0.099953293,0.161139654,0.13731901,0.121905652,0.126576366,0.114432508,0.102755722,0.109294722,0.098085007,0.08640822,0.100887436
45,1,9,0.130780009,0.187762728,0.172816441,0.159271369,0.145726296,0.13731901,0.134516581,0.141522653,0.112564222,0.108360579,0.119570294
46,1,10,0.097617936,0.158804297,0.144325082,0.141522653,0.127510509,0.120504437,0.085007006,0.107893508,0.091546007,0.090144792,0.107426436
47,1,11,0.112097151,0.169546941,0.135450724,0.155067725,0.140121439,0.104156936,0.119103223,0.113965437,0.112097151,0.079402149,0.10555815
48,1,12,0.12470808,0.171415227,0.161606726,0.157403083,0.14385801,0.138720224,0.119103223,0.128444652,0.112097151,0.106492293,0.123306866
49,1,13,0.097150864,0.160672583,0.13731901,0.144325082,0.126109295,0.119103223,0.086875292,0.111630079,0.098085007,0.084539935,0.103689865
50,1,14,0.109761794,0.200840729,0.169079869,0.174217655,0.155534797,0.168612798,0.126576366,0.142456796,0.148528725,0.11489958,0.125175152
51,1,15,0.035497431,0.068659505,0.058851004,0.061186362,0.051377861,0.058851004,0.046707146,0.055581504,0.040168146,0.037832788,0.029425502
52,1,16,0.085941149,0.166744512,0.157870154,0.147594582,0.136384867,0.11816908,0.097150864,0.113965437,0.091546007,0.094815507,0.077066791
53,1,17,0.092947221,0.195702943,0.167211583,0.15646894,0.126576366,0.127977581,0.123773937,0.131247081,0.106025222,0.110695936,0.085941149
54,1,18,0.09901915,0.202241943,0.172816441,0.142923867,0.141989724,0.131714152,0.11816908,0.122839794,0.103222793,0.113498365,0.083605792
55,1,19,0.117234937,0.219990659,0.222793087,0.185894442,0.167211583,0.177954227,0.165343298,0.139654367,0.145726296,0.122839794,0.117702008
56,1,20,0.110695936,0.228397945,0.211583372,0.174684727,0.156936011,0.161606726,0.151331154,0.142923867,0.132648295,0.119570294,0.100420364
57,1,21,0.137786081,0.259691733,0.226062588,0.208313872,0.172349369,0.180289584,0.179355441,0.158337226,0.142923867,0.129845866,0.125642223
58,1,22,0.029425502,0.053246147,0.049042504,0.052312004,0.037832788,0.042970574,0.045305932,0.035964503,0.026623073,0.028958431,0.028024288
59,1,23,0.022886502,0.049976646,0.040168146,0.044371789,0.035497431,0.033629145,0.035964503,0.024754787,0.027557216,0.026623073,0.029425502
60,1,24,0.010275572,0.027557216,0.023353573,0.021018216,0.01588043,0.014479215,0.014946287,0.014012144,0.006539,0.006539,0.010275572
61,1,25,0.075665577,0.156001868,0.123306866,0.133115367,0.131714152,0.107426436,0.092013078,0.106025222,0.078935077,0.087342363,0.075665577
62,1,26,0.01588043,0.064922933,0.062120504,0.040168146,0.044371789,0.042036432,0.033162074,0.026156002,0.02241943,0.028958431,0.023820645
63,1,27,0.021018216,0.035964503,0.035964503,0.033162074,0.027090145,0.027557216,0.02568893,0.023353573,0.023353573,0.020084073,0.022886502
64,1,28,0.021018216,0.034096217,0.023820645,0.029425502,0.017281644,0.027557216,0.023353573,0.017281644,0.018682858,0.014946287,0.021952359
65,1,29,0.027557216,0.067258291,0.070527791,0.052779075,0.049509575,0.042970574,0.051844932,0.04156936,0.037365717,0.034096217,0.031293788
66,1,30,0.028491359,0.103689865,0.084539935,0.064455862,0.060252219,0.074731434,0.045773003,0.052779075,0.047174218,0.034563288,0.034563288
67,1,31,0.032227931,0.106959365,0.084072863,0.062120504,0.068659505,0.071929005,0.037365717,0.053246147,0.04156936,0.031760859,0.035964503
68,1,32,0.002335357,0.027557216,0.017748716,0.011209715,0.014479215,0.010275572,0.009341429,0.009808501,0.007940215,0.005604858,0.002802429
69,1,33,0.018682858,0.081737506,0.061186362,0.045773003,0.053246147,0.047641289,0.033162074,0.040168146,0.031293788,0.028491359,0.023820645
70,1,34,0.021952359,0.110695936,0.088276506,0.064922933,0.071461934,0.070527791,0.045773003,0.050910789,0.049509575,0.050910789,0.028958431
71,1,35,0.029892574,0.066791219,0.067258291,0.053246147,0.046240075,0.040635217,0.043437646,0.028958431,0.041102289,0.045305932,0.037832788
72,2,0,0.04483886,0.070060719,0.065857076,0.078468006,0.071461934,0.05418029,0.044371789,0.054647361,0.050910789,0.042970574,0.050910789
73,2,1,0.052312004,0.081737506,0.07659972,0.072396077,0.067725362,0.058851004,0.066324148,0.059785147,0.056982718,0.046707146,0.046240075
74,2,2,0.050443718,0.10555815,0.095282578,0.067725362,0.080336291,0.062587576,0.061653433,0.055581504,0.061653433,0.043437646,0.050443718
75,2,3,0.051377861,0.092013078,0.083605792,0.062120504,0.070994862,0.053713218,0.062587576,0.053713218,0.066791219,0.042503503,0.04483886
76,2,4,0.056515647,0.131714152,0.106025222,0.09901915,0.090611864,0.069126576,0.06071929,0.06071929,0.067258291,0.071461934,0.04483886
77,2,5,0.049509575,0.115833723,0.091546007,0.094815507,0.078468006,0.071929005,0.053713218,0.050910789,0.067725362,0.066324148,0.045305932
78,2,6,0.056048575,0.134516581,0.106025222,0.109761794,0.090611864,0.078000934,0.062587576,0.070527791,0.076132648,0.073797291,0.056982718
